Unknown argument -c
20240930-184201-1415 12980 * SendMessageInternal (udptransport.cc:441): Sending large replication.ir.proto.DoViewChangeMessage message in 6 fragments
20240930-184211-1402 12980 PANIC Sync            (server.cc:139):    Unimplemented!
20240930-184211-1406 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x16958) [0x7fe21d4c1958]
20240930-184211-1407 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x4f7e2) [0x7fe21d4fa7e2]
20240930-184211-1407 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1c7a4) [0x7fe21d4c77a4]
20240930-184211-1408 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1ec1b) [0x7fe21d4c9c1b]
20240930-184211-1408 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1f3d3) [0x7fe21d4ca3d3]
20240930-184211-1409 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1273d) [0x7fe21d4bd73d]
20240930-184211-1409 12980 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libevent-2.1.so.7(+0x1ff58) [0x7fe21d13ff58]
20240930-184211-1409 12980 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libevent-2.1.so.7(event_base_loop+0x577) [0x7fe21d1418a7]
20240930-184211-1410 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0xedfc) [0x7fe21d4b9dfc]
20240930-184211-1410 12980 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libc.so.6(+0x29d90) [0x7fe21c869d90]
20240930-184211-1411 12980 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x80) [0x7fe21c869e40]
20240930-184211-1411 12980 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0xf045) [0x7fe21d4ba045]
