Unknown argument -c
20240930-184201-1440 12970 PANIC Sync            (server.cc:139):    Unimplemented!
20240930-184201-1445 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x16958) [0x7f93bf53e958]
20240930-184201-1446 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x4f7e2) [0x7f93bf5777e2]
20240930-184201-1447 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1c7a4) [0x7f93bf5447a4]
20240930-184201-1447 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1ec1b) [0x7f93bf546c1b]
20240930-184201-1448 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1f3d3) [0x7f93bf5473d3]
20240930-184201-1448 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0x1273d) [0x7f93bf53a73d]
20240930-184201-1449 12970 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libevent-2.1.so.7(+0x1ff58) [0x7f93bf1bff58]
20240930-184201-1449 12970 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libevent-2.1.so.7(event_base_loop+0x577) [0x7f93bf1c18a7]
20240930-184201-1450 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0xedfc) [0x7f93bf536dfc]
20240930-184201-1450 12970 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libc.so.6(+0x29d90) [0x7f93be8e9d90]
20240930-184201-1451 12970 ! _Panic          (message.cc:173):   /lib/x86_64-linux-gnu/libc.so.6(__libc_start_main+0x80) [0x7f93be8e9e40]
20240930-184201-1451 12970 ! _Panic          (message.cc:173):   /home/luca/TapirCorrectnessTest/store/tapirstore/server(+0xf045) [0x7f93bf537045]
